rumi,jawi
ada,ادا
adalah,اداله
agama,اݢام
agar,اݢر
air,اءير
akan,اکن
akhir,اخير
aku,اکو
alam,عالم
ambil,امبيل
anak,انق
anda,اندا
antara,انتارا
apa,اڤ
apabila,اڤابيلا
atas,اتس
atau,اتاو
awak,اوق
bagaimana,باݢايمانا
bagi,باݢي
bahasa,بهاس
baharu,بهارو
baik,باءيق
banyak,باڽق
barang,بارڠ
bawah,باوه
belajar,بلاجر
beliau,بلياو
benar,بنر
bentuk,بنتوق
berita,بريتا
besar,بسر
boleh,بوليه
buku,بوکو
bulan,بولن
cara,چارا
cukup,چوکوڤ
daftar,دفتر
dalam,دالم
dan,دان
dapat,داڤت
dari,دري
daripada,درڤد
dengan,دڠن
dia,ديا
dua,دوا
dunia,دنيا
ejaan,ايجاءن
fail,فاءيل
gambar,ݢمبر
guna,ݢونا
guru,ݢورو
hari,هاري
hendak,هندق
hingga,هيڠݢ
ia,اي
ialah,اياله
ibu,ايبو
imej,ايميج
ini,اين
itu,ايتو
jadi,جادي
jalan,جالن
jawi,جاوي
juga,جوݢ
kalau,کالاو
kami,کامي
kamu,کامو
kamus,کاموس
kata,کات
ke,ک
kecil,کچيل
kerana,کران
kerja,کرجا
kita,کيت
lagi,لاݢي
lain,لاءين
lalu,لالو
lama,لاما
langsung,لڠسوڠ
lebih,لبيه
lihat,ليهت
lima,ليما
luar,لوار
maka,مک
makan,ماکن
malaysia,مليسيا
mana,مان
manusia,مانسيا
masa,ماس
masih,ماسيه
melayu,ملايو
mereka,مريک
microsoft,مايکروسوفت
nama,نام
negara,نݢارا
ocr,او سي ار
online,اونلاين
orang,اورڠ
pada,ڤد
paling,ڤاليڠ
pdf,ڤي دي ايف
pergi,ڤرݢي
perkara,ڤرکارا
pula,ڤولا
rumi,رومي
sahaja,سهاج
salah,ساله
sama,سام
saya,ساي
sebagai,سباݢاي
sekarang,سکارڠ
semua,سموا
sendiri,سنديري
sistem,سيستم
standard,ستاندرد
sudah,سوده
supaya,سوڤاي
tahu,تاهو
tahun,تاهون
tapi,تاڤي
telah,تله
telefon,تيليفون
tempat,تمڤت
tentang,تنتڠ
teks,تيکس
tidak,تيدق
tiga,تيݢ
tulis,توليس
tulisan,توليسن
untuk,اونتوق
word,وورد
yang,يڠ
